cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,8AB,L,AP,preRiCTO,16.18103366279107,7.586018400701562,13.369733125709734,18.171209029900705,21.734547095946173,AB
15kg_10bpm,8AB,L,ML,preRiCTO,15.74914310251201,17.005849916934707,12.74958666490595,17.235998713555315,15.604268123448382,AB
15kg_10bpm,8AB,L,Resultant,preRiCTO,26.124551103464828,25.582894536854827,9.349818932244098,5.213598490391237,43.72315827229017,AB
15kg_10bpm,8AB,L,Vertical,preRiCTO,28.04845398274859,29.17289256055355,9.998688171763154,2.5388807883070816,46.210787669940345,AB
15kg_10bpm,8AB,R,AP,preRiCTO,16.85711180487415,7.184568914540301,11.79162569123564,20.042161193897588,23.114819382562555,AB
15kg_10bpm,8AB,R,ML,preRiCTO,17.08582614334531,20.32764226359904,19.732540027342196,12.023474890660736,14.943120163468215,AB
15kg_10bpm,8AB,R,Resultant,preRiCTO,29.826578937030163,25.42805558371004,2.76477918965914,1.8543790176682904,53.13639471023579,AB
15kg_10bpm,8AB,R,Vertical,preRiCTO,30.498021316060996,27.437328573211886,10.729457201995423,3.3033180480667443,52.6132681764645,AB
15kg_10bpm,10BC,L,AP,preRiCTO,7.166968352283655,11.324341681381616,2.7612808912854945,3.3744990316999277,7.61221996281992,BC
15kg_10bpm,10BC,L,ML,preRiCTO,13.588952806210832,8.321471399342183,3.0612387496894566,16.215732136503906,19.720569633998576,BC
15kg_10bpm,10BC,L,Resultant,preRiCTO,22.472184368608367,23.37961044579772,3.4765254562928525,3.7183613004516305,37.56632108931037,BC
15kg_10bpm,10BC,L,Vertical,preRiCTO,22.976726898672396,24.84922790460592,3.7641485559492387,3.9812353204867375,37.791608991592575,BC
15kg_10bpm,10BC,R,AP,preRiCTO,8.76352707680506,9.78697654325218,3.7175921272296324,6.952585973055764,12.102357954502947,BC
15kg_10bpm,10BC,R,ML,preRiCTO,11.642679685432803,21.09504293659085,3.0412693213267,4.465595425814255,8.403201230217762,BC
15kg_10bpm,10BC,R,Resultant,preRiCTO,23.714616475016772,26.741534259742323,1.939654397688202,3.0400303443036534,38.529630972212885,BC
15kg_10bpm,10BC,R,Vertical,preRiCTO,25.28461528767912,31.09242647967991,1.8251250213711596,3.2130040879178594,39.252952985273694,BC
15kg_10bpm,11BC,L,AP,preRiCTO,8.961788748768855,13.538171628029719,5.343051051489879,4.534504876036869,9.409240373048824,BC
15kg_10bpm,11BC,L,ML,preRiCTO,11.398194201034858,8.857537675001806,6.188005195657608,15.114988413538219,13.143506027138466,BC
