cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,5AB,R,Vertical,postRiCTO,6.483582099149899,8.110274177701388,9.056856318841424,3.15678963650494,3.40535584839303,AB
15kg_10bpm,6AB,L,AP,postRiCTO,16.804222201917543,8.254268514067073,10.735264906190979,21.235032143000005,22.068890372742082,AB
15kg_10bpm,6AB,L,ML,postRiCTO,15.559447988952169,16.485644336672145,11.315046954474028,20.356593209745377,12.55265447977703,AB
15kg_10bpm,6AB,L,Resultant,postRiCTO,7.254369806928962,4.368075405530154,9.384910920050753,6.160757076562363,8.056113120366025,AB
15kg_10bpm,6AB,L,Vertical,postRiCTO,6.273562643504309,6.041452936950912,10.222423656337531,2.1978974794015245,3.559494909146357,AB
15kg_10bpm,6AB,R,AP,postRiCTO,16.444996669027503,7.007493276818317,9.868938833700337,22.33098277970242,20.740972799114154,AB
15kg_10bpm,6AB,R,ML,postRiCTO,19.312701687405106,18.567427332681717,19.401681853979127,18.189971765456573,20.91170343969913,AB
15kg_10bpm,6AB,R,Resultant,postRiCTO,3.5162300366377988,4.046951607450977,4.097766451483894,3.233481399662334,2.466143919142083,AB
15kg_10bpm,6AB,R,Vertical,postRiCTO,6.380096407384337,4.866400252702328,10.112397396585282,3.016128378774113,5.317901819612742,AB
15kg_10bpm,7AB,L,AP,postRiCTO,17.788706604581364,7.5496913695639485,14.970043152197139,22.290844651175167,21.935834463290625,AB
15kg_10bpm,7AB,L,ML,postRiCTO,17.995824949993253,19.10967943032355,20.96818814470981,21.16346196089418,7.312789571948068,AB
15kg_10bpm,7AB,L,Resultant,postRiCTO,8.129247818264808,5.686598761190736,10.240035220427353,6.936111980809106,8.862013302790587,AB
15kg_10bpm,7AB,L,Vertical,postRiCTO,6.788880432136824,7.536539486544989,9.62427101392997,1.9748635323431427,5.6221608249333475,AB
15kg_10bpm,7AB,R,AP,postRiCTO,18.01216861557298,7.06593061344568,15.25467769260622,24.192805178078466,20.634316365559943,AB
15kg_10bpm,7AB,R,ML,postRiCTO,20.83491853259353,21.507153530661377,21.895487532282594,19.01471905998038,20.806099005318174,AB
15kg_10bpm,7AB,R,Resultant,postRiCTO,4.087663697539885,5.453446258605537,4.60426349045431,2.790982600030494,2.904809595608201,AB
15kg_10bpm,7AB,R,Vertical,postRiCTO,6.885507399160698,6.014355353403612,9.929611534615743,4.3847302501567285,6.008146884832752,AB
15kg_10bpm,8AB,L,AP,postRiCTO,15.598811436092255,7.612683385449184,13.369733125709734,18.171209029900705,20.00310167813553,AB
15kg_10bpm,8AB,L,ML,postRiCTO,15.185623735846063,16.86080169023634,12.74958666490595,17.235998713555315,13.434977108405967,AB
15kg_10bpm,8AB,L,Resultant,postRiCTO,7.1863893970785755,4.471144259764899,9.349818932244098,5.213598490391237,8.438162150202965,AB
15kg_10bpm,8AB,L,Vertical,postRiCTO,6.294464416377451,6.25646267565311,9.998688171763154,2.5388807883070816,3.734317776033742,AB
15kg_10bpm,8AB,R,AP,postRiCTO,15.612007606895625,6.887681533089511,11.79162569123564,20.042161193897588,19.526059969901887,AB
15kg_10bpm,8AB,R,ML,postRiCTO,16.837191840983824,19.806047910471932,19.732540027342196,12.023474890660736,14.514155534506918,AB
15kg_10bpm,8AB,R,Resultant,postRiCTO,5.8212475042370855,6.920072452612242,2.76477918965914,1.8543790176682904,8.656535918045371,AB
