cond,seg,onset_t,offset_t,duration_s,n_raw,n_resampled,scale_ratio,tempo_bpm,mass_kg,section,sec_per_pct
15kg_16bpm,10BC,1.196,2.436,1.24,1241,101,0.08138597904915391,16,15.0,BC,0.0124
15kg_16bpm,1BC,1.257,2.593,1.336,1337,101,0.07554225878833208,16,15.0,BC,0.01336
15kg_16bpm,2BC,1.31,2.588,1.278,1279,101,0.07896794370602032,16,15.0,BC,0.01278
15kg_16bpm,3BC,1.3,2.581,1.281,1282,101,0.07878315132605304,16,15.0,BC,0.012809999999999998
15kg_16bpm,4BC,1.147,2.532,1.385,1386,101,0.07287157287157287,16,15.0,BC,0.01385
15kg_16bpm,5BC,1.207,2.448,1.2409999999999999,1242,101,0.08132045088566828,16,15.0,BC,0.01241
15kg_16bpm,6BC,1.169,2.468,1.299,1300,101,0.07769230769230769,16,15.0,BC,0.01299
15kg_16bpm,7BC,1.199,2.566,1.3669999999999998,1368,101,0.07383040935672515,16,15.0,BC,0.013669999999999998
15kg_16bpm,8BC,1.244,2.577,1.333,1334,101,0.07571214392803598,16,15.0,BC,0.01333
15kg_16bpm,9BC,1.266,2.519,1.2530000000000001,1254,101,0.08054226475279107,16,15.0,BC,0.012530000000000001
15kg_16bpm,10CA,1.165,2.831,1.666,1667,101,0.060587882423515295,16,15.0,CA,0.016659999999999998
15kg_16bpm,1CA,1.297,2.83,1.5330000000000001,1534,101,0.06584093872229466,16,15.0,CA,0.015330000000000002
15kg_16bpm,2CA,1.286,2.792,1.5059999999999998,1507,101,0.06702057067020571,16,15.0,CA,0.015059999999999997
15kg_16bpm,3CA,1.288,2.801,1.5130000000000001,1514,101,0.0667107001321004,16,15.0,CA,0.015130000000000001
15kg_16bpm,4CA,1.327,2.855,1.528,1529,101,0.06605624591236102,16,15.0,CA,0.01528
15kg_16bpm,5CA,1.376,2.974,1.5980000000000003,1599,101,0.06316447779862414,16,15.0,CA,0.015980000000000005
15kg_16bpm,6CA,1.32,2.92,1.5999999999999999,1601,101,0.06308557151780138,16,15.0,CA,0.016
15kg_16bpm,7CA,1.304,2.881,1.5769999999999997,1578,101,0.06400506970849176,16,15.0,CA,0.015769999999999996
15kg_16bpm,8CA,1.287,2.868,1.581,1582,101,0.0638432364096081,16,15.0,CA,0.01581
15kg_16bpm,9CA,1.285,2.787,1.502,1503,101,0.06719893546240852,16,15.0,CA,0.01502
7kg_10bpm,10AB,2.091,4.127,2.0359999999999996,2037,101,0.04958271968581247,10,7.0,AB,0.020359999999999996
7kg_10bpm,11AB,2.173,4.236,2.0629999999999997,2064,101,0.04893410852713178,10,7.0,AB,0.020629999999999996
7kg_10bpm,12AB,2.094,4.047,1.9529999999999998,1954,101,0.05168884339815762,10,7.0,AB,0.01953
7kg_10bpm,13AB,2.108,4.016,1.908,1909,101,0.05290728129910948,10,7.0,AB,0.01908
7kg_10bpm,1AB,2.206,4.194,1.988,1989,101,0.05077928607340372,10,7.0,AB,0.01988
7kg_10bpm,2AB,2.183,3.887,1.7040000000000002,1705,101,0.05923753665689149,10,7.0,AB,0.017040000000000003
7kg_10bpm,3AB,2.112,3.747,1.6349999999999998,1636,101,0.0617359413202934,10,7.0,AB,0.016349999999999996
7kg_10bpm,4AB,2.101,3.745,1.6440000000000001,1645,101,0.06139817629179331,10,7.0,AB,0.01644
7kg_10bpm,5AB,2.069,3.676,1.6070000000000002,1608,101,0.06281094527363185,10,7.0,AB,0.01607
7kg_10bpm,6AB,2.102,3.659,1.557,1558,101,0.06482670089858793,10,7.0,AB,0.015569999999999999
7kg_10bpm,7AB,2.073,3.79,1.717,1718,101,0.05878928987194412,10,7.0,AB,0.01717
7kg_10bpm,8AB,2.149,3.817,1.6680000000000001,1669,101,0.06051527860994608,10,7.0,AB,0.01668
7kg_10bpm,10BC,2.418,4.05,1.6319999999999997,1633,101,0.06184935701163503,10,7.0,BC,0.016319999999999998
7kg_10bpm,11BC,2.331,4.132,1.8009999999999997,1802,101,0.0560488346281909,10,7.0,BC,0.018009999999999998
7kg_10bpm,12BC,2.375,4.013,1.638,1639,101,0.06162294081757169,10,7.0,BC,0.01638
7kg_10bpm,13BC,2.32,4.021,1.701,1702,101,0.05934195064629847,10,7.0,BC,0.01701
7kg_10bpm,1BC,2.371,3.982,1.6110000000000002,1612,101,0.06265508684863523,10,7.0,BC,0.016110000000000003
7kg_10bpm,2BC,2.216,3.679,1.4629999999999996,1464,101,0.06898907103825136,10,7.0,BC,0.014629999999999997
7kg_10bpm,3BC,2.295,3.79,1.495,1496,101,0.06751336898395723,10,7.0,BC,0.014950000000000001
7kg_10bpm,4BC,2.251,3.735,1.484,1485,101,0.06801346801346801,10,7.0,BC,0.014839999999999999
7kg_10bpm,5BC,2.269,3.786,1.517,1518,101,0.06653491436100131,10,7.0,BC,0.01517
7kg_10bpm,6BC,2.278,3.841,1.5630000000000002,1564,101,0.06457800511508952,10,7.0,BC,0.01563
7kg_10bpm,7BC,2.31,3.96,1.65,1651,101,0.06117504542701393,10,7.0,BC,0.0165
7kg_10bpm,8BC,2.34,4.034,1.694,1695,101,0.05958702064896755,10,7.0,BC,0.01694
7kg_10bpm,9BC,2.377,4.188,1.811,1812,101,0.05573951434878587,10,7.0,BC,0.01811
7kg_10bpm,10CA,2.396,4.335,1.939,1940,101,0.052061855670103095,10,7.0,CA,0.01939
7kg_10bpm,11CA,2.383,4.144,1.7610000000000001,1762,101,0.05732122587968218,10,7.0,CA,0.01761
7kg_10bpm,12CA,2.344,4.075,1.7310000000000003,1732,101,0.05831408775981524,10,7.0,CA,0.017310000000000002
7kg_10bpm,13CA,2.307,4.216,1.9090000000000003,1910,101,0.05287958115183246,10,7.0,CA,0.019090000000000003
7kg_10bpm,1CA,2.358,3.97,1.612,1613,101,0.06261624302541847,10,7.0,CA,0.016120000000000002
7kg_10bpm,3CA,2.293,3.761,1.468,1469,101,0.06875425459496257,10,7.0,CA,0.01468
7kg_10bpm,5CA,2.335,4.124,1.7889999999999997,1790,101,0.056424581005586595,10,7.0,CA,0.017889999999999996
7kg_10bpm,6CA,2.324,3.978,1.6540000000000004,1655,101,0.06102719033232629,10,7.0,CA,0.016540000000000003
7kg_10bpm,7CA,2.288,4.068,1.7799999999999998,1781,101,0.056709713644020214,10,7.0,CA,0.017799999999999996
7kg_10bpm,8CA,2.401,4.471,2.0700000000000003,2071,101,0.04876871076774505,10,7.0,CA,0.020700000000000003
7kg_10bpm,9CA,2.341,4.522,2.181,2182,101,0.0462878093492209,10,7.0,CA,0.02181
7kg_16bpm,10AB,0.93,2.392,1.4619999999999997,1463,101,0.06903622693096377,16,7.0,AB,0.014619999999999998
7kg_16bpm,1AB,1.074,2.635,1.5609999999999997,1562,101,0.0646606914212548,16,7.0,AB,0.015609999999999997
7kg_16bpm,2AB,1.179,2.812,1.6329999999999998,1634,101,0.06181150550795594,16,7.0,AB,0.016329999999999997
7kg_16bpm,3AB,0.909,2.484,1.575,1576,101,0.06408629441624365,16,7.0,AB,0.01575
7kg_16bpm,4AB,1.012,2.531,1.5190000000000001,1520,101,0.06644736842105263,16,7.0,AB,0.015190000000000002
7kg_16bpm,5AB,0.937,2.44,1.503,1504,101,0.06715425531914894,16,7.0,AB,0.015029999999999998
7kg_16bpm,6AB,0.931,2.398,1.467,1468,101,0.06880108991825613,16,7.0,AB,0.01467
7kg_16bpm,7AB,0.94,2.389,1.4489999999999998,1450,101,0.0696551724137931,16,7.0,AB,0.014489999999999998
7kg_16bpm,8AB,0.963,2.376,1.4129999999999998,1414,101,0.07142857142857142,16,7.0,AB,0.014129999999999998
7kg_16bpm,9AB,0.933,2.442,1.5090000000000001,1510,101,0.06688741721854305,16,7.0,AB,0.015090000000000001
7kg_16bpm,10BC,1.278,2.566,1.2879999999999998,1289,101,0.07835531419705198,16,7.0,BC,0.012879999999999997
7kg_16bpm,1BC,1.2,2.625,1.425,1426,101,0.07082748948106592,16,7.0,BC,0.01425
7kg_16bpm,2BC,1.264,2.588,1.324,1325,101,0.07622641509433963,16,7.0,BC,0.01324
7kg_16bpm,3BC,1.259,2.541,1.282,1283,101,0.07872174590802807,16,7.0,BC,0.01282
7kg_16bpm,4BC,1.225,2.557,1.3319999999999999,1333,101,0.07576894223555888,16,7.0,BC,0.013319999999999999
7kg_16bpm,5BC,1.24,2.419,1.179,1180,101,0.08559322033898305,16,7.0,BC,0.01179
7kg_16bpm,6BC,1.249,2.508,1.259,1260,101,0.08015873015873017,16,7.0,BC,0.012589999999999999
7kg_16bpm,7BC,1.187,2.418,1.231,1232,101,0.08198051948051949,16,7.0,BC,0.012310000000000001
7kg_16bpm,8BC,1.197,2.403,1.206,1207,101,0.08367854183927093,16,7.0,BC,0.01206
7kg_16bpm,9BC,1.248,2.454,1.2060000000000002,1207,101,0.08367854183927093,16,7.0,BC,0.012060000000000001
7kg_16bpm,10CA,1.254,2.805,1.5510000000000002,1552,101,0.06507731958762887,16,7.0,CA,0.015510000000000001
7kg_16bpm,1CA,1.292,3.133,1.841,1842,101,0.054831704668838216,16,7.0,CA,0.01841
7kg_16bpm,2CA,1.164,2.468,1.304,1305,101,0.07739463601532567,16,7.0,CA,0.013040000000000001
7kg_16bpm,3CA,1.191,2.773,1.582,1583,101,0.06380290587492103,16,7.0,CA,0.01582
7kg_16bpm,4CA,1.187,2.57,1.3829999999999998,1384,101,0.07297687861271676,16,7.0,CA,0.013829999999999999
7kg_16bpm,5CA,1.237,2.676,1.439,1440,101,0.07013888888888889,16,7.0,CA,0.01439
7kg_16bpm,6CA,1.279,2.741,1.4620000000000002,1463,101,0.06903622693096377,16,7.0,CA,0.014620000000000001
7kg_16bpm,7CA,1.219,2.782,1.563,1564,101,0.06457800511508952,16,7.0,CA,0.015629999999999998
7kg_16bpm,8CA,1.223,2.745,1.522,1523,101,0.06631648063033486,16,7.0,CA,0.015220000000000001
7kg_16bpm,9CA,1.199,2.642,1.4429999999999998,1444,101,0.06994459833795014,16,7.0,CA,0.014429999999999998
