time,residual,w_smooth,w_rect
0.01,135.1317898,0.0,0.0
0.02,136.47846555,0.0,0.0
0.03,137.63091025,0.0,0.0
0.04,138.41249225,0.0,0.0
0.05,138.76969784,0.0,0.0
0.06,138.78223024,0.0,0.0
0.07,138.61247361,0.0,0.0
0.08,138.4131731,0.0,0.0
0.09,138.25206017,0.0,0.0
0.1,138.10093596,0.0,0.0
0.11,137.87879282,0.0,0.0
0.12,137.50864502,0.0,0.0
0.13,136.96300691,0.0,0.0
0.14,136.29092217,0.0,0.0
0.15,135.62684799,0.0,0.0
0.16,135.17042543,0.0,0.0
0.17,135.11688399,0.0,0.0
0.18,135.56078204,0.0,0.0
0.19,136.43820046,0.0,0.0
0.2,137.5371295,0.0,0.0
0.21,138.56100421,0.0,0.0
0.22,139.22565799,0.0,0.0
0.23,139.35457,0.0,0.0
0.24,138.93045114,0.0,0.0
0.25,138.08930592,0.0,0.0
0.26,137.06945799,0.0,0.0
0.27,136.13985172,0.0,0.0
0.28,135.53076317,0.0,0.0
0.29,135.37640296,0.0,0.0
0.3,135.68092207,0.0,0.0
0.31,136.32529305,0.0,0.0
0.32,137.11303668,0.0,0.0
0.33,137.84041954,0.0,0.0
0.34,138.36860447,0.0,0.0
0.35,138.65521929,0.0,0.0
0.36,138.73087135,0.0,0.0
0.37,138.65485791,0.0,0.0
0.38,138.47951306,0.0,0.0
0.39,138.22783368,0.0,0.0
0.4,137.89139294,0.0,0.0
0.41,137.45685052,0.0,0.0
0.42,136.94269561,0.0,0.0
0.43,136.41104851,0.0,0.0
0.44,135.94194399,0.0,0.0
0.45,135.59496649,0.0,0.0
0.46,135.39127252,0.0,0.0
0.47,135.31559395,0.0,0.0
0.48,135.31410927,0.0,0.0
0.49,135.27630736,0.0,0.0
0.5,135.02007474,0.0,0.0
0.51,134.30740495,0.0,0.0
0.52,132.88987029,0.0,0.0
0.53,130.57126268,0.0,0.0
0.54,127.28837791,0.0,0.0
0.55,123.17830562,0.0,0.0
0.56,118.58317663,0.0,0.0
0.57,113.96013454,0.0,0.0
0.58,109.77006537,0.0,0.0
0.59,106.35735472,0.0,0.0
0.6,103.87413802,0.0,0.0
0.61,102.25548815,0.0,0.0
0.62,101.25295139,0.0,0.0
