time,residual,w_smooth,w_rect
0.01,144.74256305,0.0,0.0
0.02,137.02600677,0.0,0.0
0.03,131.30506311,0.0,0.0
0.04,127.66501772,0.0,0.0
0.05,125.85223167,0.0,0.0
0.06,125.34425762,0.0,0.0
0.07,125.49359916,0.0,0.0
0.08,125.6985705,0.0,0.0
0.09,125.55935509,0.0,0.0
0.1,124.96965826,0.0,0.0
0.11,124.11250716,0.0,0.0
0.12,123.36015612,0.0,0.0
0.13,123.11463874,0.0,0.0
0.14,123.64812784,0.0,0.0
0.15,125.02019656,0.0,0.0
0.16,127.08908692,0.0,0.0
0.17,129.58948513,0.0,0.0
0.18,132.2203622,0.0,0.0
0.19,134.70956366,0.0,0.0
0.2,136.8519993,0.0,0.0
0.21,138.51591615,0.0,0.0
0.22,139.61076103,0.0,0.0
0.23,140.04407343,0.0,0.0
0.24,139.71445607,0.0,0.0
0.25,138.55486331,0.0,0.0
0.26,136.60167808,0.0,0.0
0.27,134.0532903,0.0,0.0
0.28,131.2841766,0.0,0.0
0.29,128.79346342,0.0,0.0
0.3,127.09541346,0.0,0.0
0.31,126.58497707,0.0,0.0
0.32,127.42292815,0.0,0.0
0.33,129.48609477,0.0,0.0
0.34,132.40818904,0.0,0.0
0.35,135.68986922,0.0,0.0
0.36,138.8233186,0.0,0.0
0.37,141.39439223,0.0,0.0
0.38,143.14584024,0.0,0.0
0.39,143.99972919,0.0,0.0
0.4,144.04078765,0.0,0.0
0.41,143.47402379,0.0,0.0
0.42,142.55463521,0.0,0.0
0.43,141.48934995,0.0,0.0
0.44,140.35538008,0.0,0.0
0.45,139.09341905,0.0,0.0
0.46,137.57212781,0.0,0.0
0.47,135.6748916,0.0,0.0
0.48,133.36211589,0.0,0.0
0.49,130.68764177,0.0,0.0
0.5,127.78007844,0.0,0.0
0.51,124.81038774,0.0,0.0
0.52,121.95278381,0.0,0.0
0.53,119.33755848,0.0,0.0
0.54,117.00619248,0.0,0.0
0.55,114.89921273,0.0,0.0
0.56,112.87797034,0.0,0.0
0.57,110.79166851,0.0,0.0
0.58,108.54684065,0.0,0.0
0.59,106.17236732,0.0,0.0
0.6,103.8057877,0.0,0.0
0.61,101.62770286,0.0,0.0
0.62,99.77188409,0.0,0.0
0.63,98.27108673,0.0,0.0
0.64,97.04405134,0.0,0.0
0.65,95.90229299,0.0,0.0
0.66,94.57259983,0.0,0.0
0.67,92.74609715,0.0,0.0
0.68,90.16678958,0.0,0.0
0.69,86.75616975,0.0,0.0
0.7,82.74161875,0.0,0.0
0.71,78.66168698,0.0,0.0
0.72,75.26415904,0.0,0.0
0.73,73.30859523,0.0,0.0
0.74,73.32158606,0.0,0.0
0.75,75.46061585,0.0,0.0
0.76,79.51093981,0.0,0.0
0.77,85.00974492,0.0,0.0
0.78,91.38821723,0.0,0.0
0.79,98.06538574,0.0,0.0
0.8,104.486242,0.0,0.0
0.81,110.15176339,0.0,0.0
0.82,114.69355839,0.0,0.0
0.83,118.00118534,0.0,0.0
0.84,120.30073923,0.0,0.0
0.85,122.10750431,0.0,0.0
0.86,124.04740692,0.0,0.0
0.87,126.61885089,0.0,0.0
0.88,129.99854414,0.0,0.0
0.89,133.97169729,0.0,0.0
0.9,138.0217179,0.0,0.0
0.91,141.52750704,0.0,0.0
0.92,143.99232694,0.0,0.0
0.93,145.22771154,0.0,0.0
0.94,145.42317727,0.0,0.0
0.95,145.07784108,0.0,0.0
0.96,144.82903224,0.0,0.0
0.97,145.23074922,0.0,0.0
0.98,146.55521142,0.0,0.0
0.99,148.67523992,0.0,0.0
1.0,151.06969618,0.0,0.0
1.01,152.97431336,0.0,0.0
1.02,153.65636396,0.0,0.0
1.03,152.74042823,0.0,0.0
1.04,150.46502647,0.0,0.0
1.05,147.77188859,0.0,0.0
1.06,146.12930467,0.0,0.0
1.07,147.09551138,0.0,0.0
1.08,151.76448969,0.0,0.0
1.09,160.31596795,0.0,0.0
1.1,171.8547642,0.0,0.0
1.11,184.60931711,0.0,0.0
1.12,196.42819829,0.0,0.0
1.13,205.41792539,0.0,0.0
