app,axis,hand,mass_kg,tempo_bpm,n,RMSE_mean,RMSE_std,RMSE_median
HeavyHand,AP,L,7.0,10,36,7.726060479469506,1.3079726007327424,7.705327963432759
HeavyHand,AP,L,7.0,16,30,8.03543682821555,2.0612510417074335,7.419264918013035
HeavyHand,AP,L,15.0,10,36,11.728735188178105,3.22724055807055,10.504221905322659
HeavyHand,AP,L,15.0,16,30,13.518521016305614,1.9882042271475406,13.346289888830452
HeavyHand,AP,R,7.0,10,36,8.775670449102792,1.6658905627927925,8.54794596195749
HeavyHand,AP,R,7.0,16,30,8.981204853450896,2.862840123816056,9.532158027282573
HeavyHand,AP,R,15.0,10,36,12.926101203894019,2.9947124301673114,12.538804926937189
HeavyHand,AP,R,15.0,16,30,14.023345538642275,3.0124176722393803,14.46567656937394
HeavyHand,ML,L,7.0,10,36,10.987104137763788,3.1312986362508166,10.9436171915115
HeavyHand,ML,L,7.0,16,30,9.364252282478214,4.10632480187981,7.352670751939752
HeavyHand,ML,L,15.0,10,36,16.67764586927627,4.127945433112255,16.473112722138268
HeavyHand,ML,L,15.0,16,30,17.99024312369883,5.326753609353949,17.393301785809413
HeavyHand,ML,R,7.0,10,36,10.61062724614676,2.554577835903316,10.294233673177576
HeavyHand,ML,R,7.0,16,30,10.208927282027455,1.4371429325399614,10.104340139149944
HeavyHand,ML,R,15.0,10,36,16.24479241013185,3.1631218484291637,15.774465721538704
HeavyHand,ML,R,15.0,16,30,19.371038921774105,3.0348386255076534,19.358827094377908
HeavyHand,Resultant,L,7.0,10,36,10.672634853017534,1.315972537927002,11.098588358063875
HeavyHand,Resultant,L,7.0,16,30,12.721244465080533,1.897798747764627,13.199535961998503
HeavyHand,Resultant,L,15.0,10,36,25.217339701652776,3.627423984560789,25.67414600657627
HeavyHand,Resultant,L,15.0,16,30,30.363910931036322,5.650390605410104,29.73587035945839
HeavyHand,Resultant,R,7.0,10,36,11.896285810374756,1.7413053303462382,12.030187078545293
HeavyHand,Resultant,R,7.0,16,30,13.885500985924219,2.1139790221897217,14.047332073731333
HeavyHand,Resultant,R,15.0,10,36,27.16487737448737,3.7335167425731846,27.350223858967958
HeavyHand,Resultant,R,15.0,16,30,33.20615718992373,5.853722649434955,33.76505095725466
HeavyHand,Vertical,L,7.0,10,36,11.227030163116563,1.2192037294470741,11.337268492750923
HeavyHand,Vertical,L,7.0,16,30,12.95831281772647,2.0698066121621244,13.440025684950133
HeavyHand,Vertical,L,15.0,10,36,25.996177214567993,3.4670419404947386,26.614925611570243
HeavyHand,Vertical,L,15.0,16,30,31.04576533073229,5.91435311875188,30.708466386684968
HeavyHand,Vertical,R,7.0,10,36,12.889741536224323,1.4766611016586242,12.828826275233556
HeavyHand,Vertical,R,7.0,16,30,14.344637470876496,1.6311190568365004,14.432062476850142
HeavyHand,Vertical,R,15.0,10,36,28.675701888491915,3.106111347969278,28.277181233103853
HeavyHand,Vertical,R,15.0,16,30,33.465023311774495,5.762749051377785,33.843463741396704
postRiCTO,AP,L,7.0,10,36,7.376692118451487,1.3446438677801793,7.424348095450666
postRiCTO,AP,L,7.0,16,30,7.466292447207859,2.1502955461872393,6.572456922537187
postRiCTO,AP,L,15.0,10,36,10.537069385246284,3.5603047054843726,9.330765419028765
postRiCTO,AP,L,15.0,16,30,12.076014207801538,2.891948586572151,11.7467758892481
postRiCTO,AP,R,7.0,10,36,8.431556380874339,1.772813181936473,8.354510295050048
postRiCTO,AP,R,7.0,16,30,8.279998810388467,2.691917295144649,8.381178829159207
postRiCTO,AP,R,15.0,10,36,12.118181385640625,3.243321981135234,12.086344875778323
postRiCTO,AP,R,15.0,16,30,12.26966553424834,3.261682352957066,12.78709824128389
