seg,residual_source,solver,success,cost,t1,d1,t2,d2,B,B_theory,B_edge_over_theory,nfev,qc_warning
1AB,id:pelvis_ty_force,least_squares,True,148466.77524708406,1.6446961892947127,0.4998970660066094,3.7471372898107695,0.3447631137643397,98.066,98.066,0.9111280623743594,16,
2AB,id:pelvis_ty_force,least_squares,True,165556.80892324197,1.856270835454859,0.3674863869043006,3.935719455659843,0.3771489050611257,98.066,98.066,0.9128182414874256,15,
3AB,id:pelvis_ty_force,least_squares,True,203051.24461366303,1.7467349307197422,0.2779580451591825,3.5520596142953647,0.3071941264626555,98.066,98.066,0.9129294520826908,13,
4AB,id:pelvis_ty_force,least_squares,True,196237.63882621285,1.7280376850745751,0.5284251998415117,3.5753060275819992,0.3291041339830734,98.066,98.066,0.9149209090386508,29,
5AB,id:pelvis_ty_force,least_squares,True,137211.11198434996,1.8543643821591829,0.3237922658887396,3.671003992315861,0.3362143155110613,98.066,98.066,0.9144004954936312,23,
6AB,id:pelvis_ty_force,least_squares,True,149560.11510744836,2.005795457083575,0.4082084447003797,3.968904280591421,0.324327703725563,98.066,98.066,0.9118068859397612,19,
7AB,id:pelvis_ty_force,least_squares,True,132368.54503360295,1.950887981999136,0.3688862218643349,3.6584380067153175,0.4317944179847436,98.066,98.066,0.9186514021909216,19,
8AB,id:pelvis_ty_force,least_squares,True,149613.7117367043,1.991044904130404,0.5028043960896204,4.0801799026391325,0.3535414746945876,98.066,98.066,0.915308429875958,27,
9AB,id:pelvis_ty_force,least_squares,True,145723.76341623848,1.8445366642712608,0.5885157136685937,3.7896965570687984,0.3452654582409122,98.066,98.066,0.9179757038547068,31,
10AB,id:pelvis_ty_force,least_squares,True,187012.19963216747,1.9922321032676835,0.3724122399996973,3.9963836111548567,0.2891752546379462,98.066,98.066,0.9173922523856486,14,
11AB,id:pelvis_ty_force,least_squares,True,197728.5061707884,2.11030264349396,0.2335295094483519,3.9409208209228015,0.4206887271720148,98.066,98.066,0.9211149958561324,19,
1BC,id:pelvis_ty_force,least_squares,True,145065.14675206866,1.9424997153691983,0.2639824321192543,3.923871860953743,0.3238614332905407,98.066,98.066,0.9143875574323096,19,
2BC,id:pelvis_ty_force,least_squares,True,114101.40270304416,2.124967896695917,0.2330337075412835,4.1467503344059855,0.3197828390799404,98.066,98.066,0.9085471834864716,17,
3BC,id:pelvis_ty_force,least_squares,True,130421.89358481111,1.9765583865748213,0.2256381363307242,3.860382532560445,0.3499587449480424,98.066,98.066,0.907484454612,24,
4BC,id:pelvis_ty_force,least_squares,True,118194.68631951584,2.135476144227421,0.229206687113343,3.873469443921416,0.2898280781371858,98.066,98.066,0.9140537974045488,15,
5BC,id:pelvis_ty_force,least_squares,True,122149.87570435015,2.1085811603265,0.2354262233704067,3.896631207748301,0.2736682488598826,98.066,98.066,0.9111107333146584,14,
6BC,id:pelvis_ty_force,least_squares,True,118047.25314810158,2.1550630533251685,0.3299033637730356,4.329096207655351,0.3335644704434549,98.066,98.066,0.9002444646732511,14,
7BC,id:pelvis_ty_force,least_squares,True,114858.61566543102,2.157450310870628,0.2359211647777993,4.207337997557967,0.372402259850263,98.066,98.066,0.9069159812259286,17,
8BC,id:pelvis_ty_force,least_squares,True,88767.570692073,2.2955496004263805,0.2202391625174204,4.164040676840987,0.2828034153456344,98.066,98.066,0.9115573879046244,13,
9BC,id:pelvis_ty_force,least_squares,True,102041.0385269806,2.2843223880401653,0.1856790307033247,4.163079264186106,0.3418367729127771,98.066,98.066,0.9080324109863184,26,
10BC,id:pelvis_ty_force,least_squares,True,91774.8147154008,2.112910388629149,0.2842256697913417,4.053217567945121,0.278896866121213,98.066,98.066,0.9132985849675872,20,
11BC,id:pelvis_ty_force,least_squares,True,103295.69545702644,2.272217964284597,0.3010560808753834,4.295994613984082,0.3486382218027593,98.066,98.066,0.9022317972929796,17,
1CA,id:pelvis_ty_force,least_squares,True,150874.87366892194,2.179918342431163,0.2558728013223191,4.382440112205485,0.504141215872158,98.066,98.066,0.917594502839824,19,
2CA,id:pelvis_ty_force,least_squares,True,114580.72254941706,2.2699587187394914,0.2014894707897309,4.466349237635128,0.5986724574611921,98.066,98.066,0.9203912823806534,38,
3CA,id:pelvis_ty_force,least_squares,True,115580.65576936177,2.168493060392087,0.1750207187893623,4.197774299672282,0.7017270078019578,98.066,98.066,0.9112037363332336,29,
4CA,id:pelvis_ty_force,least_squares,True,111689.70496193526,2.2225697914574067,0.3028186277703084,4.50196917959253,0.4489569259065445,98.066,98.066,0.9174110119755282,17,
5CA,id:pelvis_ty_force,least_squares,True,94131.3009951352,2.199908066311492,0.170495110428023,4.4155653001214805,0.4598420655366623,98.066,98.066,0.9175408060377904,15,
6CA,id:pelvis_ty_force,least_squares,True,95538.85153286872,2.401543584619398,0.2398618933086724,4.451034783537884,0.5197575319249842,98.066,98.066,0.9216333922072492,21,
7CA,id:pelvis_ty_force,least_squares,True,102244.27574299976,2.2683387227101184,0.2288085651830181,4.273939133577002,0.4569839316176633,98.066,98.066,0.9166338356790926,22,
9CA,id:pelvis_ty_force,least_squares,True,79055.50139589123,2.3765252754442283,0.2404499805384242,4.655597819683386,0.7999999999999999,98.066,98.066,0.961430301969502,29,
10CA,id:pelvis_ty_force,least_squares,True,81172.62222343085,2.504878894756358,0.3660743009539901,4.829543096793831,0.6847303944405015,98.066,98.066,0.963273453235576,22,
11CA,id:pelvis_ty_force,least_squares,True,76311.43885542743,2.4455027135845877,0.10498921943123703,4.416469989944288,0.6910281532905742,98.066,98.066,0.9292175981901744,30,
