cond,seg,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,Force_AP,HeavyHand,235.64216947772556,192.89655915016215,16.925409901754175,62.40313620325154,419.40928466508257,AB
15kg_10bpm,10AB,Force_ML,HeavyHand,25.411114815135292,16.811858715644984,21.76991809836196,11.349766486555778,40.707007618873334,AB
15kg_10bpm,10AB,Force_Resultant,HeavyHand,866.020127928083,915.0117228448518,65.80971065195205,165.29376149031765,1441.5081858402214,AB
15kg_10bpm,10AB,Force_Vertical,HeavyHand,834.1203290156993,894.9806009194572,63.86294488195856,154.54933340640872,1380.4621974850315,AB
15kg_10bpm,10AB,Moment_AxialRotation,HeavyHand,9.088897806167068,4.042019976519911,3.4030505384578977,4.480595443704198,16.575647158412753,AB
15kg_10bpm,10AB,Moment_FlexionExtension,HeavyHand,3.346697493726992,2.0919590160943495,0.4459458692900879,0.8332193328016393,6.200196734064256,AB
15kg_10bpm,10AB,Moment_LateralBending,HeavyHand,2.743074028139239,2.641742244193193,2.8422739069707443,0.37269269351712414,3.823331185673783,AB
15kg_10bpm,11AB,Force_AP,HeavyHand,226.8808135023729,207.63559679188492,19.347362351659932,91.13579309581931,387.5043622770852,AB
15kg_10bpm,11AB,Force_ML,HeavyHand,18.932575715218164,19.51314238918556,21.912714621243353,18.60930061408356,15.218647862091625,AB
15kg_10bpm,11AB,Force_Resultant,HeavyHand,854.0440926302214,979.9350641568825,79.61008239186995,243.65471288640023,1359.0023160456815,AB
15kg_10bpm,11AB,Force_Vertical,HeavyHand,824.1279562261715,958.0660104769264,77.61326777723995,228.09101549053747,1303.831342823359,AB
15kg_10bpm,11AB,Moment_AxialRotation,HeavyHand,6.362147961598223,4.065118065135789,3.0426648999680856,6.761396332414536,9.406795255983049,AB
15kg_10bpm,11AB,Moment_FlexionExtension,HeavyHand,2.484193574810123,2.0194112811146008,0.5496411982500605,1.5072698390973627,4.192453137236076,AB
15kg_10bpm,11AB,Moment_LateralBending,HeavyHand,2.7749324003874407,2.8745443514239497,2.499025650489781,0.6648964033387897,3.941737663804695,AB
15kg_10bpm,12AB,Force_AP,HeavyHand,210.2059499086643,176.1186210002666,25.809866410172926,75.86689516873147,368.3042266636034,AB
15kg_10bpm,12AB,Force_ML,HeavyHand,24.830852124572964,21.711282349384348,15.241961201534242,13.278632880567775,39.356952077676134,AB
15kg_10bpm,12AB,Force_Resultant,HeavyHand,789.1159113503701,908.3921449046024,103.06252668971801,202.28264832758632,1255.3759013740278,AB
15kg_10bpm,12AB,Force_Vertical,HeavyHand,761.4177922431978,891.4399541746413,100.12751488984269,189.4508159304309,1201.6159699298987,AB
15kg_10bpm,12AB,Moment_AxialRotation,HeavyHand,7.774194783349099,4.192950607274896,2.251767643462356,5.347758875947608,13.619842883868719,AB
15kg_10bpm,12AB,Moment_FlexionExtension,HeavyHand,3.215510121051395,2.002988007281391,0.5201074593094128,1.3940615939642214,5.846244777104191,AB
15kg_10bpm,12AB,Moment_LateralBending,HeavyHand,2.6216794123389238,3.434571986985919,1.8000355677698632,0.2390348664191736,3.4909483827659042,AB
15kg_10bpm,13AB,Force_AP,HeavyHand,242.3058540294963,212.71006101535684,22.517318937144577,67.02695625525728,423.98269659178885,AB
15kg_10bpm,13AB,Force_ML,HeavyHand,21.204706399431966,14.937090434476966,13.974398950152528,21.31187857252152,30.127089967850857,AB
15kg_10bpm,13AB,Force_Resultant,HeavyHand,905.1598156394898,1004.873169783724,91.3361384368162,179.22498454524364,1474.069382580276,AB
15kg_10bpm,13AB,Force_Vertical,HeavyHand,872.995158685702,982.8013309795208,89.18425476418223,168.14062200035698,1413.1400707693679,AB
15kg_10bpm,13AB,Moment_AxialRotation,HeavyHand,8.021969811548747,3.9912359449974173,3.7973126744224905,7.706902990233176,12.79408581063395,AB
15kg_10bpm,13AB,Moment_FlexionExtension,HeavyHand,2.649151520052197,2.235539257795845,0.7159440919477318,0.8570021622920483,4.610613887220605,AB
15kg_10bpm,13AB,Moment_LateralBending,HeavyHand,2.395401120662315,2.5815167115221564,1.8273632405379618,1.139858848362171,3.379596704107209,AB
15kg_10bpm,1AB,Force_AP,HeavyHand,212.97747121179046,179.52477426227858,36.971211374693944,79.20181409048838,371.30622690655866,AB
15kg_10bpm,1AB,Force_ML,HeavyHand,11.980560010718127,7.099581987308374,12.388196819886858,11.932805825628176,14.987600185511557,AB
15kg_10bpm,1AB,Force_Resultant,HeavyHand,830.9931633896108,897.7553987156846,116.09969649311513,212.4415648723971,1360.5871265075223,AB
