cond,seg,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,Force_AP,HeavyHand,235.64216947772556,192.89655915016215,16.925409901754175,62.40313620325154,419.40928466508257,AB
15kg_10bpm,10AB,Force_AP,postRiCTO,58.26761039009462,31.425758323326107,16.892033211613256,62.257752439437326,90.76234525100807,AB
15kg_10bpm,10AB,Force_AP,preRiCTO,204.79418422823764,193.60464544427143,16.89203321213529,62.25775244052636,350.5437131580217,AB
15kg_10bpm,10AB,Force_ML,HeavyHand,25.411114815135292,16.811858715644984,21.76991809836196,11.349766486555778,40.707007618873334,AB
15kg_10bpm,10AB,Force_ML,postRiCTO,16.37246441634535,12.427235965951585,21.746576168621065,11.387045873779574,17.703163704599408,AB
15kg_10bpm,10AB,Force_ML,preRiCTO,22.227565729887957,16.481150977576576,21.746576168505257,11.387045873312168,32.84307932481931,AB
15kg_10bpm,10AB,Force_Resultant,HeavyHand,866.020127928083,915.0117228448518,65.80971065195205,165.29376149031765,1441.5081858402214,AB
15kg_10bpm,10AB,Force_Resultant,postRiCTO,171.14895871993463,113.14025135729607,65.97025137618992,164.89339851525156,266.7412306769371,AB
15kg_10bpm,10AB,Force_Resultant,preRiCTO,772.3436186102025,918.0151005165036,65.97025137768235,164.89339851732268,1215.1391245616894,AB
15kg_10bpm,10AB,Force_Vertical,HeavyHand,834.1203290156993,894.9806009194572,63.86294488195856,154.54933340640872,1380.4621974850315,AB
15kg_10bpm,10AB,Force_Vertical,postRiCTO,161.93706536841142,109.45887286212154,64.03593464655349,154.17280828658963,252.09181877469814,AB
15kg_10bpm,10AB,Force_Vertical,preRiCTO,745.356644379019,897.9072474511117,64.0359346479216,154.17280828846742,1164.5158657329805,AB
15kg_10bpm,10AB,Moment_AxialRotation,HeavyHand,9.088897806167068,4.042019976519911,3.4030505384578977,4.480595443704198,16.575647158412753,AB
15kg_10bpm,10AB,Moment_AxialRotation,postRiCTO,5.6908217325752934,4.003326277211009,3.383477133315554,4.4935669502640385,8.942688425011092,AB
15kg_10bpm,10AB,Moment_AxialRotation,preRiCTO,8.882925992034256,3.8496422313702987,3.383477133279159,4.493566950264026,16.18171882003648,AB
15kg_10bpm,10AB,Moment_FlexionExtension,HeavyHand,3.346697493726992,2.0919590160943495,0.4459458692900879,0.8332193328016393,6.200196734064256,AB
15kg_10bpm,10AB,Moment_FlexionExtension,postRiCTO,2.253153651057039,0.952416724182302,0.44283170440611713,0.8574274833235508,4.237140514818564,AB
15kg_10bpm,10AB,Moment_FlexionExtension,preRiCTO,3.0350027060541107,2.097571562632811,0.4428317044061172,0.8574274826128384,5.536793633826112,AB
15kg_10bpm,10AB,Moment_LateralBending,HeavyHand,2.743074028139239,2.641742244193193,2.8422739069707443,0.37269269351712414,3.823331185673783,AB
15kg_10bpm,10AB,Moment_LateralBending,postRiCTO,1.883483367237285,2.4131922194814375,2.836768987018256,0.3742519532922481,0.5556694368809996,AB
15kg_10bpm,10AB,Moment_LateralBending,preRiCTO,2.4871122681328943,2.5399581252212404,2.836768987018256,0.37425195309460796,3.1549150827563093,AB
15kg_10bpm,11AB,Force_AP,HeavyHand,226.8808135023729,207.63559679188492,19.347362351659932,91.13579309581931,387.5043622770852,AB
15kg_10bpm,11AB,Force_AP,postRiCTO,71.40089990535003,43.09526367337781,19.620898063554566,90.51685873067224,98.84328341398754,AB
15kg_10bpm,11AB,Force_AP,preRiCTO,222.38907157357312,210.00372446505278,19.62089806397972,90.51685872923467,376.12143464501145,AB
15kg_10bpm,11AB,Force_ML,HeavyHand,18.932575715218164,19.51314238918556,21.912714621243353,18.60930061408356,15.218647862091625,AB
15kg_10bpm,11AB,Force_ML,postRiCTO,16.57310686549431,11.807891103266009,21.864251117015655,18.439876335241642,12.095667973488434,AB
15kg_10bpm,11AB,Force_ML,preRiCTO,18.693844662722462,19.329672727614327,21.864251115892593,18.439876332906216,14.547896439222148,AB
15kg_10bpm,11AB,Force_Resultant,HeavyHand,854.0440926302214,979.9350641568825,79.61008239186995,243.65471288640023,1359.0023160456815,AB
15kg_10bpm,11AB,Force_Resultant,postRiCTO,215.63975624763575,181.61253218107456,80.04936282098566,241.38125395510428,294.5108656460586,AB
15kg_10bpm,11AB,Force_Resultant,preRiCTO,843.5639891727222,988.5199460166683,80.04936281977679,241.38125395251745,1327.5991667830635,AB
15kg_10bpm,11AB,Force_Vertical,HeavyHand,824.1279562261715,958.0660104769264,77.61326777723995,228.09101549053747,1303.831342823359,AB
15kg_10bpm,11AB,Force_Vertical,postRiCTO,204.62395112352795,176.80218366964303,78.0039988239768,225.89320408061764,278.7115070280821,AB
15kg_10bpm,11AB,Force_Vertical,preRiCTO,814.4503368105964,966.3464528751958,78.0039988226806,225.89320407831866,1274.3447592719504,AB
15kg_10bpm,11AB,Moment_AxialRotation,HeavyHand,6.362147961598223,4.065118065135789,3.0426648999680856,6.761396332414536,9.406795255983049,AB
15kg_10bpm,11AB,Moment_AxialRotation,postRiCTO,5.127349859430288,3.8629433606880546,3.0363716118339377,6.666888875675946,6.014498806857071,AB
15kg_10bpm,11AB,Moment_AxialRotation,preRiCTO,6.399254127781836,3.8939936201548653,3.0363716118339377,6.666888875694789,9.638149636071033,AB
15kg_10bpm,11AB,Moment_FlexionExtension,HeavyHand,2.484193574810123,2.0194112811146008,0.5496411982500605,1.5072698390973627,4.192453137236076,AB
15kg_10bpm,11AB,Moment_FlexionExtension,postRiCTO,1.7713042432555326,0.8876311916869914,0.5533574085491718,1.5041800405579653,2.993410148386583,AB
15kg_10bpm,11AB,Moment_FlexionExtension,preRiCTO,2.394917669984642,2.0541608135499314,0.5533574087528321,1.504180040557967,3.9690641633014647,AB
15kg_10bpm,11AB,Moment_LateralBending,HeavyHand,2.7749324003874407,2.8745443514239497,2.499025650489781,0.6648964033387897,3.941737663804695,AB
15kg_10bpm,11AB,Moment_LateralBending,postRiCTO,1.7442565959640566,2.296022920008713,2.478670199253478,0.6438834340340442,0.6660073707889022,AB
15kg_10bpm,11AB,Moment_LateralBending,preRiCTO,2.705199897416693,2.8176210519655673,2.4786701991448026,0.6438834340805816,3.806342123306153,AB
15kg_10bpm,12AB,Force_AP,HeavyHand,210.2059499086643,176.1186210002666,25.809866410172926,75.86689516873147,368.3042266636034,AB
15kg_10bpm,12AB,Force_AP,postRiCTO,60.97017863750114,33.29769785457286,25.734043016663815,74.19116667882967,86.28462724140056,AB
15kg_10bpm,12AB,Force_AP,preRiCTO,198.24724545800214,136.21949761673238,25.734043017935143,74.19116667963877,359.02865541533754,AB
15kg_10bpm,12AB,Force_ML,HeavyHand,24.830852124572964,21.711282349384348,15.241961201534242,13.278632880567775,39.356952077676134,AB
15kg_10bpm,12AB,Force_ML,postRiCTO,13.167698921766624,12.556392534207388,15.036010306103272,12.456256003890504,12.464788804566584,AB
15kg_10bpm,12AB,Force_ML,preRiCTO,20.968951063713455,19.260244337975564,15.036010306344986,12.45625600439223,31.381317624138454,AB
15kg_10bpm,12AB,Force_Resultant,HeavyHand,789.1159113503701,908.3921449046024,103.06252668971801,202.28264832758632,1255.3759013740278,AB
15kg_10bpm,12AB,Force_Resultant,postRiCTO,181.11580999791332,133.3062177970762,102.94610656536942,196.61525648635057,250.95558974747985,AB
15kg_10bpm,12AB,Force_Resultant,preRiCTO,728.478953095862,699.3632595699984,102.94610656699189,196.61525648568224,1242.5118692522822,AB
15kg_10bpm,12AB,Force_Vertical,HeavyHand,761.4177922431978,891.4399541746413,100.12751488984269,189.4508159304309,1201.6159699298987,AB
15kg_10bpm,12AB,Force_Vertical,postRiCTO,171.76888814234928,129.80547827906526,100.01192305216598,184.02204272063108,237.13519882178812,AB
15kg_10bpm,12AB,Force_Vertical,preRiCTO,701.7715954468159,686.2243751049116,100.0119230535794,184.0220427197467,1190.8555560713994,AB
15kg_10bpm,12AB,Moment_AxialRotation,HeavyHand,7.774194783349099,4.192950607274896,2.251767643462356,5.347758875947608,13.619842883868719,AB
15kg_10bpm,12AB,Moment_AxialRotation,postRiCTO,4.666962314142104,3.810391887301436,2.2005296637943075,4.9082876385976375,6.544277137088039,AB
15kg_10bpm,12AB,Moment_AxialRotation,preRiCTO,7.632295350826298,3.9588354473148963,2.2005296640847622,4.9082876383711715,13.542376869956406,AB
15kg_10bpm,12AB,Moment_FlexionExtension,HeavyHand,3.215510121051395,2.002988007281391,0.5201074593094128,1.3940615939642214,5.846244777104191,AB
15kg_10bpm,12AB,Moment_FlexionExtension,postRiCTO,1.743437541356905,1.0396625592366429,0.5137904863371872,1.0246441208934585,3.0830033972673223,AB
15kg_10bpm,12AB,Moment_FlexionExtension,preRiCTO,2.912573575605872,1.6640653781847008,0.5137904864865092,1.0246441209079473,5.387724018652776,AB
15kg_10bpm,12AB,Moment_LateralBending,HeavyHand,2.6216794123389238,3.434571986985919,1.8000355677698632,0.2390348664191736,3.4909483827659042,AB
15kg_10bpm,12AB,Moment_LateralBending,postRiCTO,1.665757096539594,2.7228736634872224,1.7530547367693388,0.23058603044930154,0.8023791977222197,AB
15kg_10bpm,12AB,Moment_LateralBending,preRiCTO,2.619759282240748,3.1645599647330456,1.7530547367693388,0.23058603021179247,3.745031289998717,AB
15kg_10bpm,13AB,Force_AP,HeavyHand,242.3058540294963,212.71006101535684,22.517318937144577,67.02695625525728,423.98269659178885,AB
15kg_10bpm,13AB,Force_AP,postRiCTO,58.85812965079597,43.26247930476637,22.424315034642206,66.76903994238386,82.99149728113579,AB
15kg_10bpm,13AB,Force_AP,preRiCTO,219.85938855028604,213.7581299355152,22.424315034637562,66.76903994415795,372.9206920363243,AB
15kg_10bpm,13AB,Force_ML,HeavyHand,21.204706399431966,14.937090434476966,13.974398950152528,21.31187857252152,30.127089967850857,AB
15kg_10bpm,13AB,Force_ML,postRiCTO,15.474552640443756,12.891748775344205,14.060947566800708,21.115194941598517,12.312700544236312,AB
15kg_10bpm,13AB,Force_ML,preRiCTO,19.27955239690684,13.929553456205749,14.060947566488567,21.115194941722244,25.269288990742027,AB
15kg_10bpm,13AB,Force_Resultant,HeavyHand,905.1598156394898,1004.873169783724,91.3361384368162,179.22498454524364,1474.069382580276,AB
15kg_10bpm,13AB,Force_Resultant,postRiCTO,178.38603715960554,145.4033565442012,91.18347995661607,178.1542692608216,254.50492925745715,AB
15kg_10bpm,13AB,Force_Resultant,preRiCTO,836.8054391339274,1008.8782460163042,91.18347995576995,178.15426926361835,1304.9809973625438,AB
15kg_10bpm,13AB,Force_Vertical,HeavyHand,872.995158685702,982.8013309795208,89.18425476418223,168.14062200035698,1413.1400707693679,AB
15kg_10bpm,13AB,Force_Vertical,postRiCTO,169.5730273662641,140.0240270354994,89.04415331017296,167.10265312148232,241.61189643493893,AB
15kg_10bpm,13AB,Force_Vertical,preRiCTO,808.1921181290817,986.6711957521011,89.04415330932274,167.1026531239593,1251.7114333097966,AB
15kg_10bpm,13AB,Moment_AxialRotation,HeavyHand,8.021969811548747,3.9912359449974173,3.7973126744224905,7.706902990233176,12.79408581063395,AB
15kg_10bpm,13AB,Moment_AxialRotation,postRiCTO,5.557567799762155,3.8115697726747166,3.762137834652372,7.531325404489684,6.153414797943232,AB
15kg_10bpm,13AB,Moment_AxialRotation,preRiCTO,7.231053353343531,3.6343429318625016,3.7621378340138003,7.531325404834543,11.057588054117987,AB
15kg_10bpm,13AB,Moment_FlexionExtension,HeavyHand,2.649151520052197,2.235539257795845,0.7159440919477318,0.8570021622920483,4.610613887220605,AB
