cond,seg,onset_t,offset_t,duration_s,n_raw,n_resampled,scale_ratio,tempo_bpm,mass_kg,section,sec_per_pct
15kg_16bpm,1BC,1.257,2.593,1.336,134,101,0.753731343283582,16,15.0,BC,0.01336
15kg_16bpm,2BC,1.31,2.588,1.278,128,101,0.7890625,16,15.0,BC,0.01278
15kg_16bpm,3BC,1.3,2.581,1.281,129,101,0.7829457364341085,16,15.0,BC,0.012809999999999998
15kg_16bpm,4BC,1.147,2.532,1.385,139,101,0.7266187050359713,16,15.0,BC,0.01385
15kg_16bpm,5BC,1.207,2.448,1.2409999999999999,124,101,0.8145161290322581,16,15.0,BC,0.01241
15kg_16bpm,6BC,1.169,2.468,1.299,130,101,0.7769230769230769,16,15.0,BC,0.01299
15kg_16bpm,7BC,1.199,2.566,1.3669999999999998,137,101,0.7372262773722628,16,15.0,BC,0.013669999999999998
15kg_16bpm,8BC,1.244,2.577,1.333,133,101,0.7593984962406015,16,15.0,BC,0.01333
15kg_16bpm,9BC,1.266,2.519,1.2530000000000001,125,101,0.808,16,15.0,BC,0.012530000000000001
15kg_16bpm,10CA,1.165,2.831,1.666,167,101,0.6047904191616766,16,15.0,CA,0.016659999999999998
15kg_16bpm,1CA,1.297,2.83,1.5330000000000001,154,101,0.6558441558441559,16,15.0,CA,0.015330000000000002
15kg_16bpm,2CA,1.286,2.792,1.5059999999999998,151,101,0.6688741721854304,16,15.0,CA,0.015059999999999997
15kg_16bpm,3CA,1.288,2.801,1.5130000000000001,152,101,0.6644736842105263,16,15.0,CA,0.015130000000000001
15kg_16bpm,4CA,1.327,2.855,1.528,153,101,0.6601307189542484,16,15.0,CA,0.01528
15kg_16bpm,5CA,1.376,2.974,1.5980000000000003,160,101,0.63125,16,15.0,CA,0.015980000000000005
15kg_16bpm,6CA,1.32,2.92,1.5999999999999999,161,101,0.6273291925465838,16,15.0,CA,0.016
15kg_16bpm,7CA,1.304,2.881,1.5769999999999997,158,101,0.6392405063291139,16,15.0,CA,0.015769999999999996
15kg_16bpm,8CA,1.287,2.868,1.581,158,101,0.6392405063291139,16,15.0,CA,0.01581
15kg_16bpm,9CA,1.285,2.787,1.502,150,101,0.6733333333333333,16,15.0,CA,0.01502
7kg_10bpm,10AB,2.091,4.127,2.0359999999999996,203,101,0.4975369458128079,10,7.0,AB,0.020359999999999996
7kg_10bpm,11AB,2.173,4.236,2.0629999999999997,206,101,0.49029126213592233,10,7.0,AB,0.020629999999999996
7kg_10bpm,12AB,2.094,4.047,1.9529999999999998,195,101,0.517948717948718,10,7.0,AB,0.01953
7kg_10bpm,13AB,2.108,4.016,1.908,191,101,0.5287958115183246,10,7.0,AB,0.01908
7kg_10bpm,1AB,2.206,4.194,1.988,199,101,0.507537688442211,10,7.0,AB,0.01988
7kg_10bpm,2AB,2.183,3.887,1.7040000000000002,170,101,0.5941176470588235,10,7.0,AB,0.017040000000000003
7kg_10bpm,3AB,2.112,3.747,1.6349999999999998,163,101,0.6196319018404908,10,7.0,AB,0.016349999999999996
7kg_10bpm,4AB,2.101,3.745,1.6440000000000001,164,101,0.6158536585365854,10,7.0,AB,0.01644
7kg_10bpm,5AB,2.069,3.676,1.6070000000000002,161,101,0.6273291925465838,10,7.0,AB,0.01607
7kg_10bpm,6AB,2.102,3.659,1.557,155,101,0.6516129032258065,10,7.0,AB,0.015569999999999999
7kg_10bpm,7AB,2.073,3.79,1.717,172,101,0.5872093023255814,10,7.0,AB,0.01717
7kg_10bpm,8AB,2.149,3.817,1.6680000000000001,167,101,0.6047904191616766,10,7.0,AB,0.01668
7kg_10bpm,10BC,2.418,4.05,1.6319999999999997,164,101,0.6158536585365854,10,7.0,BC,0.016319999999999998
7kg_10bpm,11BC,2.331,4.132,1.8009999999999997,180,101,0.5611111111111111,10,7.0,BC,0.018009999999999998
7kg_10bpm,12BC,2.375,4.013,1.638,164,101,0.6158536585365854,10,7.0,BC,0.01638
7kg_10bpm,13BC,2.32,4.021,1.701,171,101,0.5906432748538012,10,7.0,BC,0.01701
7kg_10bpm,1BC,2.371,3.982,1.6110000000000002,161,101,0.6273291925465838,10,7.0,BC,0.016110000000000003
7kg_10bpm,2BC,2.216,3.679,1.4629999999999996,146,101,0.6917808219178082,10,7.0,BC,0.014629999999999997
7kg_10bpm,3BC,2.295,3.79,1.495,150,101,0.6733333333333333,10,7.0,BC,0.014950000000000001
7kg_10bpm,4BC,2.251,3.735,1.484,148,101,0.6824324324324325,10,7.0,BC,0.014839999999999999
7kg_10bpm,5BC,2.269,3.786,1.517,152,101,0.6644736842105263,10,7.0,BC,0.01517
7kg_10bpm,6BC,2.278,3.841,1.5630000000000002,157,101,0.643312101910828,10,7.0,BC,0.01563
7kg_10bpm,7BC,2.31,3.96,1.65,166,101,0.608433734939759,10,7.0,BC,0.0165
7kg_10bpm,8BC,2.34,4.034,1.694,170,101,0.5941176470588235,10,7.0,BC,0.01694
7kg_10bpm,9BC,2.377,4.188,1.811,181,101,0.5580110497237569,10,7.0,BC,0.01811
7kg_10bpm,10CA,2.396,4.335,1.939,194,101,0.520618556701031,10,7.0,CA,0.01939
7kg_10bpm,11CA,2.383,4.144,1.7610000000000001,176,101,0.5738636363636364,10,7.0,CA,0.01761
7kg_10bpm,12CA,2.344,4.075,1.7310000000000003,173,101,0.5838150289017341,10,7.0,CA,0.017310000000000002
