cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_16bpm,5BC,L,ML,HeavyHand,11.047279475756708,10.38827536093324,2.4708232261345175,11.128257453229832,15.664508029538554,BC
15kg_16bpm,5BC,L,Resultant,HeavyHand,32.53361564576117,28.935098688158877,3.1414873035406563,1.216216806203089,57.40790259802431,BC
15kg_16bpm,5BC,L,Vertical,HeavyHand,32.74744354102452,31.554120434803586,4.0488098067429386,2.927003650611624,56.431146853363366,BC
15kg_16bpm,5BC,R,AP,HeavyHand,10.617507885428598,16.294766076946207,5.502611036185815,3.98221855631255,11.757933466888526,BC
15kg_16bpm,5BC,R,ML,HeavyHand,22.297101341314875,33.14914053243788,7.668073877805723,10.9374034954192,26.516280771153784,BC
15kg_16bpm,5BC,R,Resultant,HeavyHand,36.17121083534543,36.82488624650107,6.092591584606816,1.6646837567015225,61.1570891986166,BC
15kg_16bpm,5BC,R,Vertical,HeavyHand,37.32258942754539,44.7744581557483,5.396905053952737,1.8602034505588185,58.75538199073168,BC
15kg_16bpm,6BC,L,AP,HeavyHand,13.556231308388274,17.159331244684978,4.361557744137201,5.173483179530328,19.665611397632915,BC
15kg_16bpm,6BC,L,ML,HeavyHand,11.088503710846739,8.28562245947412,1.5013090007274477,14.871063523714975,14.028948648196812,BC
15kg_16bpm,6BC,L,Resultant,HeavyHand,34.1804428931166,26.997779795349278,2.748652369590309,3.376714287697345,61.8007453389321,BC
15kg_16bpm,6BC,L,Vertical,HeavyHand,34.220150244519814,29.627084666282155,3.2971716058599965,6.802898323031546,60.41523437464719,BC
15kg_16bpm,6BC,R,AP,HeavyHand,14.813826521227254,26.63882745741154,3.839874198281,5.03515382870764,11.471170670297964,BC
15kg_16bpm,6BC,R,ML,HeavyHand,20.14136544849712,31.763150733044032,8.06348255579162,10.711918515122317,20.807328103352823,BC
15kg_16bpm,6BC,R,Resultant,HeavyHand,34.43054579007065,34.28034410608855,5.634574767324248,2.6366344100763373,58.63369147554921,BC
15kg_16bpm,6BC,R,Vertical,HeavyHand,34.41344677498336,36.89117348998815,4.153304868372401,3.692821405094477,57.11549648071291,BC
15kg_16bpm,7BC,L,AP,HeavyHand,12.72814581221542,17.972400339001677,6.653910910909434,2.631443500307579,16.416947500682447,BC
15kg_16bpm,7BC,L,ML,HeavyHand,16.99648945522628,18.806290787994254,5.373317487695803,16.047282223247574,22.51096870629884,BC
15kg_16bpm,7BC,L,Resultant,HeavyHand,40.5083930245891,55.49329458926483,3.794759710161857,1.6504234858801299,58.282526199837676,BC
15kg_16bpm,7BC,L,Vertical,HeavyHand,42.29177322004066,61.42283914793454,5.916989027556495,5.6313653653757845,57.06298719264251,BC
15kg_16bpm,7BC,R,AP,HeavyHand,12.432903712929946,16.109779808497144,8.343198629889383,4.96151661640323,16.134674996680662,BC
15kg_16bpm,7BC,R,ML,HeavyHand,23.722110625892782,27.515156972852267,19.065328028574516,3.5399791281706707,33.11346494636822,BC
15kg_16bpm,7BC,R,Resultant,HeavyHand,45.42403171422222,62.45230329758346,5.7502628440600105,1.854474615809843,65.03778154136961,BC
15kg_16bpm,7BC,R,Vertical,HeavyHand,45.94174813889961,69.85514214742068,5.634605020180342,2.1136853191898326,58.925028420380215,BC
15kg_16bpm,8BC,L,AP,HeavyHand,12.938261333065634,12.52292369081986,6.59045792539971,5.003307668002197,20.82434615490463,BC
15kg_16bpm,8BC,L,ML,HeavyHand,16.862969303857156,18.653257566823587,8.17140107955835,20.35206804061724,17.538168193692176,BC
15kg_16bpm,8BC,L,Resultant,HeavyHand,44.10661092337781,46.8281629395137,2.2287536935614645,3.4701560888768856,73.70355162531827,BC
15kg_16bpm,8BC,L,Vertical,HeavyHand,44.64576220332455,51.50861681826528,3.3522664333900667,5.038097954979093,71.81003496402965,BC
15kg_16bpm,8BC,R,AP,HeavyHand,11.757834253030572,18.062813500851114,7.074017620149853,4.565425848419856,12.456326084552277,BC
15kg_16bpm,8BC,R,ML,HeavyHand,20.973649098924703,28.546192296353624,6.474056183672734,4.217114497078723,29.45970245667198,BC
15kg_16bpm,8BC,R,Resultant,HeavyHand,42.50965441825603,53.206550316100675,1.9037310127840101,3.7490005174979846,65.42721668593933,BC
15kg_16bpm,8BC,R,Vertical,HeavyHand,44.1440656157547,60.966877830072896,2.1435052036174556,3.615374934840116,63.078982196096725,BC
15kg_16bpm,9BC,L,AP,HeavyHand,11.061378168693343,14.98578379448773,3.850604155075726,2.330692858930446,15.488131744926553,BC
15kg_16bpm,9BC,L,ML,HeavyHand,9.682607113613692,11.545158922996098,5.806104725127109,10.721128081167985,9.648510413026177,BC
15kg_16bpm,9BC,L,Resultant,HeavyHand,36.851807809671826,27.58791843227459,2.225306755404311,1.5651318702645483,67.35418947597951,BC
15kg_16bpm,9BC,L,Vertical,HeavyHand,37.116446957348735,28.709082918357268,2.798899427822701,3.805465044580437,67.36168821052264,BC
15kg_16bpm,9BC,R,AP,HeavyHand,9.324818458287215,13.963102213361323,5.611356100463111,3.8253215671189715,10.293688361751396,BC
15kg_16bpm,9BC,R,ML,HeavyHand,22.113167079715666,30.135289886282482,3.956341732807758,7.873696528076082,30.849275113978127,BC
15kg_16bpm,9BC,R,Resultant,HeavyHand,35.9405700457635,28.30659530976072,3.5171007047706104,1.2007040213906166,65.07017113442032,BC
15kg_16bpm,9BC,R,Vertical,HeavyHand,34.83494086921778,33.661578176416285,4.213396136500623,1.913685582012456,60.0313587990061,BC
15kg_16bpm,10CA,L,AP,HeavyHand,12.14162893496266,19.196252625721264,10.246564308274005,4.419195977528857,9.930328971579867,CA
15kg_16bpm,10CA,L,ML,HeavyHand,12.897578370640806,20.8439052579225,9.363459365707296,10.440146930107286,6.271469801013835,CA
15kg_16bpm,10CA,L,Resultant,HeavyHand,33.453392083282466,53.31545449704989,4.251301668096448,3.382698998286879,39.82206866141283,CA
15kg_16bpm,10CA,L,Vertical,HeavyHand,35.38155148120342,58.67335938418463,2.0163591328104142,3.158638705598116,39.23407447892093,CA
15kg_16bpm,10CA,R,AP,HeavyHand,12.075035329561954,18.540364366383677,11.294842416332466,4.29605427845751,9.77061496950356,CA
15kg_16bpm,10CA,R,ML,HeavyHand,15.82897923547862,23.937045571477313,17.84537379992368,7.13094079367447,8.201709750310211,CA
