cond,seg,net_max,net_rms,hicks_5pct_max,hicks_5pct_rms,hicks_1pct_max_moment_placeholder,section,hicks_1pct_max
15kg_10bpm,10AB,798.3825258944853,714.2006268543676,39.919126294724265,35.71003134271838,,AB,7.9838252589448535
15kg_10bpm,11AB,823.1362175904469,714.6469212158538,41.15681087952235,35.73234606079269,,AB,8.231362175904469
15kg_10bpm,12AB,811.1478492755325,714.2827721772984,40.55739246377663,35.71413860886492,,AB,8.111478492755325
15kg_10bpm,13AB,815.1275070364189,714.1351571249382,40.75637535182095,35.70675785624692,,AB,8.15127507036419
15kg_10bpm,1AB,827.9255856117736,714.7521446514443,41.396279280588686,35.737607232572216,,AB,8.279255856117736
15kg_10bpm,2AB,849.990313613028,715.079987428875,42.4995156806514,35.753999371443754,,AB,8.49990313613028
15kg_10bpm,4AB,797.2480456352752,714.9316032729081,39.862402281763764,35.746580163645405,,AB,7.972480456352752
15kg_10bpm,5AB,794.2111158093835,714.7757124829525,39.71055579046918,35.738785624147624,,AB,7.9421111580938355
15kg_10bpm,6AB,823.4604384777748,714.9040861200416,41.17302192388874,35.74520430600208,,AB,8.234604384777748
15kg_10bpm,7AB,821.1371372351546,715.1770094623074,41.05685686175773,35.75885047311537,,AB,8.211371372351547
15kg_10bpm,8AB,843.328708733953,714.6729654352328,42.166435436697654,35.73364827176164,,AB,8.433287087339531
15kg_10bpm,10BC,835.3906394444683,714.4458912210165,41.76953197222342,35.72229456105082,,BC,8.353906394444683
15kg_10bpm,11BC,846.559391061816,713.9599351192476,42.3279695530908,35.69799675596238,,BC,8.46559391061816
15kg_10bpm,12BC,822.4733116983559,713.5967629451845,41.1236655849178,35.679838147259225,,BC,8.22473311698356
15kg_10bpm,13BC,822.5789621781676,713.4734452383098,41.12894810890838,35.67367226191549,,BC,8.225789621781676
15kg_10bpm,1BC,821.4832385610206,714.4224964116929,41.07416192805103,35.72112482058465,,BC,8.214832385610206
15kg_10bpm,2BC,854.2000018596244,714.8210616754827,42.710000092981225,35.74105308377414,,BC,8.542000018596244
15kg_10bpm,3BC,852.4451320337532,715.0855129021303,42.62225660168767,35.75427564510652,,BC,8.524451320337532
15kg_10bpm,4BC,850.0072519946993,714.499515089679,42.50036259973497,35.72497575448395,,BC,8.500072519946993
15kg_10bpm,5BC,848.4495143758962,715.2134854010832,42.422475718794814,35.76067427005416,,BC,8.484495143758963
15kg_10bpm,6BC,849.9360623033747,714.6723688792034,42.49680311516874,35.733618443960175,,BC,8.499360623033747
15kg_10bpm,7BC,837.6759722991069,714.8764518940739,41.883798614955346,35.743822594703694,,BC,8.37675972299107
15kg_10bpm,8BC,866.2240824844753,714.7879562257127,43.311204124223764,35.739397811285635,,BC,8.662240824844753
15kg_10bpm,9BC,837.5443285959957,713.9765666449779,41.87721642979979,35.698828332248894,,BC,8.375443285959957
15kg_10bpm,10CA,802.9359581751828,712.9437421606964,40.14679790875914,35.64718710803482,,CA,8.029359581751828
15kg_10bpm,11CA,809.6768181315846,712.0795407224241,40.48384090657923,35.60397703612121,,CA,8.096768181315847
15kg_10bpm,13CA,807.7581792601986,711.9950209769861,40.387908963009934,35.599751048849306,,CA,8.077581792601986
