seg,residual_source,solver,success,cost,t1,d1,t2,d2,B,B_theory,B_edge_over_theory,nfev,qc_warning
1AB,id:pelvis_ty_force,least_squares,True,286949.7330505583,0.8789306372338761,0.0951381582235929,2.504190657891452,0.1025834414965196,68.6462,68.6462,0.928750841931413,52,
2AB,id:pelvis_ty_force,least_squares,True,197091.8984318875,1.0585697933353602,0.2222570517385013,2.5728649607012097,0.0923800669258145,68.6462,68.6462,1.009633674542972,22,
3AB,id:pelvis_ty_force,least_squares,True,700128.1466345615,1.0453318549404471,0.1113120925577667,1.8178877977584629,0.0669755712296679,68.6462,68.6462,0.9945296360862786,26,
4AB,id:pelvis_ty_force,least_squares,True,175440.47840417526,0.9302297325181212,0.0925387132702475,2.47354565821051,0.1271007605637341,68.6462,68.6462,1.0161655597676431,21,
5AB,id:pelvis_ty_force,least_squares,True,282583.0908098296,1.0180255063079655,0.076526275894751,2.4737343850085978,0.1101304276286812,68.6462,68.6462,1.0539603999658724,47,
6AB,id:pelvis_ty_force,least_squares,True,237581.38219005693,0.98862192352869,0.0629204142165504,2.291094129652879,0.227319390639128,68.6462,68.6462,1.041082079433042,41,
7AB,id:pelvis_ty_force,least_squares,True,232112.1388252412,0.9484379929073212,0.216405193147172,2.193059554545449,0.4132481298764776,68.6462,68.6462,1.037631065504333,24,
8AB,id:pelvis_ty_force,least_squares,True,237556.61415769468,0.9759165604749978,0.0846572332316728,2.18163855013968,0.4511006610917015,68.6462,68.6462,1.008236347004284,33,
9AB,id:pelvis_ty_force,least_squares,True,160925.64608996408,0.935521930816353,0.1124147131684608,2.226761345908564,0.2833377543468922,68.6462,68.6462,1.0347640197598018,23,
10AB,id:pelvis_ty_force,least_squares,True,205832.90991969124,1.014701307682855,0.176704490296225,2.360674365712214,0.3359962191112982,68.6462,68.6462,1.0379654647278935,31,
1BC,id:pelvis_ty_force,least_squares,True,379319.45110966393,0.9542022552624956,0.2591694340993719,2.2406208076824283,0.1226802082937328,68.6462,68.6462,0.8309032763106264,25,
2BC,id:pelvis_ty_force,least_squares,True,411960.25844950415,1.0508997943504936,0.1190288644275546,2.216136488396754,0.2010679966574432,68.6462,68.6462,0.8706230898075791,28,
3BC,id:pelvis_ty_force,least_squares,True,310209.41549650906,1.082625618764718,0.1771858269210827,2.3221604247409866,0.2348580116468888,68.6462,68.6462,0.8842971290329198,19,
4BC,id:pelvis_ty_force,least_squares,True,400466.494614977,1.0391567810795403,0.2195620715396265,2.305093402424271,0.2131259322745566,68.6462,68.6462,0.8645660881404343,13,
5BC,id:pelvis_ty_force,least_squares,True,224255.22620766444,1.0082342291686406,0.2490505550226669,2.2616354294472645,0.0839364553389285,68.6462,68.6462,0.8019643734631698,19,
6BC,id:pelvis_ty_force,least_squares,True,315433.02036800684,1.031845759015268,0.2465082675678387,2.2534617308395086,0.226410282178352,68.6462,68.6462,0.8890764165815616,13,
7BC,id:pelvis_ty_force,least_squares,True,351889.9975153495,0.9875153106034312,0.0741139947860989,2.1238382788100028,0.1210930751319167,68.6462,68.6462,0.7941935230180829,30,
8BC,id:pelvis_ty_force,least_squares,True,224095.86598555525,0.9495261248099662,0.1964422336850083,2.01921391278245,0.350913718853157,68.6462,68.6462,0.7881211751149588,14,
9BC,id:pelvis_ty_force,least_squares,True,347541.8415419382,1.0037729750550652,0.1922345552305475,2.238635293118973,0.114665432060744,68.6462,68.6462,0.7807915460267685,22,
10BC,id:pelvis_ty_force,least_squares,True,209447.423661482,1.0122250872869862,0.2736181771119114,2.269786854131364,0.1398599380344051,68.6462,68.6462,0.8413424015601796,18,
1CA,id:pelvis_ty_force,least_squares,True,404521.68959944986,1.0458193205962267,0.1103682560193444,2.410514882066715,0.6104081016128872,68.6462,68.6462,0.7861491051387618,22,
2CA,id:pelvis_ty_force,least_squares,True,223678.6095790975,1.1251442836030083,0.1284039291521159,2.258158858924269,0.7999999999967929,68.6462,68.6462,0.827064396244089,23,
3CA,id:pelvis_ty_force,least_squares,True,245955.0256933016,0.9883626828630514,0.4463879876299046,2.593619466064601,0.1168777209282162,68.6462,68.6462,0.8921257361517407,28,
4CA,id:pelvis_ty_force,least_squares,True,263751.0307533945,1.0640742563546872,0.1352685528981815,2.435449382717791,0.2051886661070046,68.6462,68.6462,0.8218637279795161,24,
5CA,id:pelvis_ty_force,least_squares,True,294184.6803616986,0.9705784240062236,0.1316750658366937,2.1186483638649563,0.7999999999999873,68.6462,68.6462,0.7800248467261601,23,
6CA,id:pelvis_ty_force,least_squares,True,240160.976554406,1.1343955350861383,0.1597221093042372,2.316998376513056,0.7999999999999982,68.6462,68.6462,0.8506050553060335,17,
7CA,id:pelvis_ty_force,least_squares,True,246718.9554384008,0.9557838092183064,0.3025960733075964,2.354654491767814,0.7238834159764999,68.6462,68.6462,0.8248548310544416,23,
8CA,id:pelvis_ty_force,least_squares,True,227083.60530761824,1.0128158021073197,0.187692790733342,2.32631408680851,0.390867127211707,68.6462,68.6462,0.869154122233806,34,
9CA,id:pelvis_ty_force,least_squares,True,227925.9865085197,1.1829203197207268,0.2083017829821396,2.426471559185313,0.7999999999999999,68.6462,68.6462,0.8925592766142005,19,
10CA,id:pelvis_ty_force,least_squares,True,171430.85577878158,1.0491493419812856,0.2153079486616924,2.4942133559091797,0.12859396232621625,68.6462,68.6462,0.8344453528096126,17,
